,review_text,review_text_pre,price,packaging,product,aroma
0,"love it so much! awalnha aku bukan orang yg suka pakai sunblock karena aku gak suka sama efek lengketnya. namun sejak ketemu sama biore ini, aku jadi sukaa banget krn sublock ini sama sekali gak lengket di kulit. wanginya seger kayak ada citrusnya gitu and adem di wajah. selain itu juga sangat cepat meresap ke kulit wajah karena sifatnya yang water base",love it so much awal saya bukan orang yg suka pakai sunblock karena saya tidak suka sama efek lengket namun sejak ketemu sama biore ini saya jadi suka banget karena sublock ini sama sekali tidak lengket di kulit wangi segar seperti ada citrusnya gitu and adem di wajah selain itu juga sangat cepat resap ke kulit wajah karena sifat yang water base,0,0,1,1
1,"di kulitku yang kombinasi, sunscreen ini enak banget dipake pagi hari setelah mandi dan langsung cuss ngantor. apalagi dengan spf 50 yang pastinya lebih dari cukup untuk matahari pagi. teksturnya milky dan gampang menyerap di kulit. hasilnya matte-dewy dan ga ada whitecast sama sekali. ga bikin breakout or anything, langsung cocok dari awal pake. packagingnya juga bagus mungil lucu ringan, travel friendly banget. ini sunscreen favoritku untuk single use, so definitely repurchase!",di kulit yang kombinasi sunscreen ini enak banget pakai pagi hari telah mandi dan langsung cuss ngantor apalagi dengan spf yang pasti lebih dari cukup untuk matahari pagi tekstur milky dan tidak ang serap di kulit hasil matte dewy dan tidak ada whitecast sama sekali tidak buat breakout or anything langsung cocok dari awal pakai kemas juga bagus mungil lucu ringan travel friendly banget ini sunscreen favorit untuk single use so definitely repurchase ,0,1,1,0
2,"pacakginya gedee banget,,,ga travel friendly sama sekali,,uda gitu berharap banyak karena non alcohol.. eh malah tambah iritasi kulitku,,beruntusan malah jadi tambah banyak ...kulit jadi kusam..ga bakalan repurchase lagi ni sih",pacakginya besar banget tidak travel friendly sama sekali sudah gitu harap banyak karena non alcohol eh malah tambah iritasi kulit beruntus malah jadi tambah banyak kulit jadi kusam tidak bakal repurchase lagi ini sih,0,-1,-1,0
3,"wonder pore ini lumayan agak ngefek sih di aku, biasa pake ini buat toner. tapi untuk serinya wonder pore, kayaknya wonder pore ini agak biasa aja untuk ngecilin pori pori, tapi wonder pore freshner ini punya terobosan buat ngebasmi kuman dan cacing yang ada di kulit kita supaya kulit kita ngga berpori besar dan berminyak",wonder pore ini lumayan agak pengaruh sih di saya biasa pakai ini buat toner tapi untuk seri wonder pore seperti wonder pore ini agak biasa saja untuk ngecilin pori pori tapi wonder pore freshner ini punya terobos buat ngebasmi kuman dan cacing yang ada di kulit kita supaya kulit kita tidak pori besar dan minyak,0,0,1,0
4,"kalo saya bilang mahal ya karena ga sesuai sama barangnya...  gak ampuh di kulit saya, ga mengangkat komedo menyeluruh, malah muncul whitehead disekitar pipi. seger sih dipakenya, tapi saya ga akan purchase ini lagi.. mengingat fungsinya yang tidak optimal.",kalau saya bilang mahal ya karena tidak sesuai sama barang tidak uh di kulit saya tidak angkat komedo seluruh malah muncul whitehead sekitar pipi segar sih dipakenya tapi saya tidak akan purchase ini lagi ingat fungsi yang tidak optimal ,-1,0,-1,0
5,"untuk serum vitamin c kadar 20% dengan harga segitu bener2 menarik untuk dicoba.  sudah hampir sebulan aku pake serum ini, mukaku agak cerahan, wajah juga lebih kencang. untuk acne scarsnya sendiri, masi tetep ada dan belum hilang. mungkin harus nunggu lebih lama lagi biar keluar efeknya  vitamin c ini bener-bener ga stabil. aku saranin begitu dibuka, langsung ganti ke pipet yang sudah disediain. terus langsung taruh di kulkas. ketika mau ditemplokin ke wajah, alangkah baiknya botolnya ditutup. karena kebanyakan dari kita kalo mau ngusapin sesuatu ke wajah, produknya lupa ga ditutup dan baru ditutup ketika selesai. simpan sekaligus bareng boxnya juga biar mengurangi terkena cahaya",untuk serum vitamin c kadar dengan harga segitu bener tarik untuk coba sudah h ir bulan saya pakai serum ini muka agak cerah wajah juga lebih kencang untuk acne scarsnya sendiri mas tetap ada dan belum hilang mungkin harus nunggu lebih lama lagi agar keluar efek vitamin c ini bener bener tidak stabil saya saranin begitu buka langsung ganti ke pipet yang sudah ain terus langsung taruh di kulkas ketika mau ditemplokin ke wajah alangkah baik botol tutup karena banyak dari kita kalau mau ngusapin sesuatu ke wajah produk lupa tidak tutup dan baru tutup ketika selesai simpan sekaligus bareng boxnya juga agar kurang kena cahaya,0,0,1,0
6,karna aku pecinta sunblock jadi hampir semua sunblock aku cobain. dan ini salah satu favorite ku. hasil nya gak begitu white cast. packaging nya bagus&quot; aja. isi nya banyak pake nya dikit banget udah bisa semuka dan seleher. harga nya lumayan mahal. bisa di cari di supermarket gede tapi di carefour ga ada ya. spf nya gede suka banget sama spf yang tinggi.,karena saya cinta sunblock jadi h ir semua sunblock saya coba dan ini salah satu favorite ku hasil nya tidak begitu white cast packaging nya bagus saja isi nya banyak pakai nya dikit banget sudah bisa muka dan leher harga nya lumayan mahal bisa di cari di supermarket besar tapi di carefour tidak ada ya spf nya besar suka banget sama spf yang tinggi ,-1,1,1,0
7,udah dua kali repurchase serum ini. serum ini cepet banget nyerap dikulit dan jadi lembab sepanjang hari hihii kulit saya jadi kencang. tapi serum ini makin lama makin mahal harganya. kalo ada budget lebih saya akan repurchase serum kesayangan ini.,sudah dua kali repurchase serum ini serum ini cepat banget serap kulit dan jadi lembab panjang hari hihii kulit saya jadi kencang tapi serum ini makin lama makin mahal harga kalau ada budget lebih saya akan repurchase serum sayang ini ,-1,0,1,0
8,pros wanginya enak scrub nya oke ga terlalu kasar cukup buat ngangkat kotoran dan bikin kulit halus  harga terjangkau  packaging okelah so so sih tapi dengan harga segini cukup kepake lama sih   cons - one of my fave   repurchase: yes,pros wangi enak scrub nya ok tidak terlalu kasar cukup buat ngangkat kotor dan buat kulit halus harga jangkau packaging oke so so sih tapi dengan harga gin cukup kepake lama sih cons one of my favorit repurchase yes,1,0,1,1
9,"the best (red) lipstick ever!! ini merupakan lipstick merah dan lipstick mac pertama yang saya beli. waktu itu belinya cuma gara2 packaging-nya bagus banget wonder woman (krn saya pencinta wonder woman hehe).. anyway, suka banget dengan warna merah, it brightens my face.. i don't know how. bahkan ketika sedang tidak pakai makeup sekalipun, lipstick ini udah cukup bikin wajah terlihat cling. saya juga punya ruby woo, tapi warna merahnya seperti terlalu mencolok dan tekstur retro matte itu lebih kering dibandingkan tekstur matte russian red ini. love.. love.. love.. definitely must have red lipstick!",the best red lipstick ever ini rupa lipstick merah dan lipstick mac pertama yang saya beli waktu itu beli cuma gara packaging nya bagus banget wonder woman karena saya cinta wonder woman hehe anyway suka banget dengan warna merah it brightens my face i do not know how bahkan ketika sedang tidak pakai makeup sekalipun lipstick ini sudah cukup buat wajah lihat cling saya juga punya ruby woo tapi warna merah seperti terlalu colok dan tekstur retro matte itu lebih kering banding tekstur matte russian red ini love love love definitely must have red lipstick ,0,1,1,0
10,"toner ini wanginya enak! beneran beli toner ini karena suka sama wanginya. adik sama tanteku juga pakai dan cocok banget. sayangnya produk ini sepertinya kandungan alkoholnya cukup tinggi jadi bikin kulitku tambah kering. beberapa kali pakai muncul bruntusan di kulitku, jadi nggak terusin pake lagi.",toner ini wangi enak sangat beli toner ini karena suka sama wangi adik sama tante juga pakai dan cocok banget sayang produk ini seperti kandung alkohol cukup tinggi jadi buat kulit tambah kering beberapa kali pakai muncul beruntus di kulit jadi tidak terusin pakai lagi ,0,0,-1,1
11,"serum ini lebih sering dikenal dengan sebutan ccdss singkatan dari namanya yang panjang bangets. suka banget pakai serum ini namun biasanya pakainya gak all over alias seluruh muka, hanya bagian tertentu saja yang tampak muncul dark spot atau di area yang pernah dihinggapi jerawat buat menyamarkan warna nya biar gak jadi dark spot. teksturnya yang cair namun sedikit kental pun mudah dioleskan dan menyerap ke dalam kulit. biasanya muka agak terlihat cerah setelah beberapa lama pemakaian, namun untuk dark spot atau menghilangkan bekas jerawat yang sudah menghitam agak butuh waktu yang lama, tetapi untuk bekas jerawat yang baru muncul apabila dipakai langsung rutin bisa menyamarkan dan hilang tak berbekas. jadi sebaiknya gunakan serum ini segera setelah jerawat mengempes agar tidak menimbulkan bekas yang mengganggu nantinya.",serum ini lebih sering kenal dengan sebut ccdss singkat dari nama yang panjang bangets suka banget pakai serum ini namun biasa pakai tidak all over alias seluruh muka hanya bagi tentu saja yang t saya muncul dark spot atau di area yang pernah hinggap jerawat buat samar warna nya agar tidak jadi dark spot tekstur yang cair namun sedikit kental pun mudah oles dan serap ke dalam kulit biasa muka agak lihat cerah telah beberapa lama pakai namun untuk dark spot atau hilang bekas jerawat yang sudah hitam agak butuh waktu yang lama tetapi untuk bekas jerawat yang baru muncul apabila pakai langsung rutin bisa samar dan hilang tak bekas jadi baik guna serum ini segera telah jerawat kempes agar tidak timbul bekas yang ganggu nanti ,0,0,1,0
12,"harganya start from usd 27 sebenarnya karena ada beberapa size.  best skincare product yang pernah saya coba. kondisi kulit saya improve banyak sejak memasukkan lotion p50 ini ke ritual perawatan kulit saya setiap hari. kulit saya jauh lebih cerah, glowing, dan rasanya seluruh kulit mati saya terangkat dengan baik setiap memakai produk ini.  mengandung lactic acid dan glycerin. awalnya agak kaget dengan baunya dan pertama kali pakai, berasa perih. tapi hanya 1-2 hari, sesudah itu biasa. kadang-kadang rasa perih masih ada tergantung kondisi kulit, tapi perih yang menyenangkan :)  saya pakai ini hanya malam hari saja, sesudah double cleanse sebagai toner pertama. sesudah ini mau pakai serum tanpa 2nd toner (hydrating) pun tidak apa-apa.  sudah beli botol ke-2. dan rasanya tidak akan pernah menghilangkan lotion p50 ini di jajaran skincare saya.",harga start from usd benar karena ada beberapa size best skincare product yang pernah saya coba kondisi kulit saya improve banyak sejak masuk lotion p ini ke ritual awat kulit saya tiap hari kulit saya jauh lebih cerah glowing dan rasa seluruh kulit mati saya angkat dengan baik tiap pakai produk ini kandung lactic acid dan glycerin awal agak kaget dengan aroma dan pertama kali pakai rasa perih tapi hanya hari sudah itu biasa kadang kadang rasa perih masih ada gantung kondisi kulit tapi perih yang senang saya pakai ini hanya malam hari saja sudah double cleanse bagai toner pertama sudah ini mau pakai serum tanpa nd toner hydrating pun tidak apa apa sudah beli botol ke dan rasa tidak akan pernah hilang lotion p ini di jajar skincare saya ,-1,0,1,0
13,"sekitar 6 bulan yang lalu aku mulai pake fte ini karena baca reviewnya yg bagus bagus banget, awal pemakain produk ini syukurnya aku ga mengalami purging, dan setelah beberapa bulan pemakaian fte kulit mukaku jadi berasa beda banget,\u00a0 kulit muka ku yang tadinya cenderung\u00a0berminya, kusam\u00a0dan berjerawat jadi\u00a0berasa lebih lembab tapi ga berminyak, keliatan glowing walaupun kurang tidur sekalipun, dan yang pasti ga mesti touch up berkali kali karena efeknya yg mencerahkan dan bikin kulit kusam ilang.\u00a0dari segi kemasan sebenarnya aku suka suka aja,secara botolnya terbuat dari kaca\u00a0emang agak berat kalau mesti dibawa travelling.",sekitar bulan yang lalu saya mulai pakai fte ini karena baca reviewnya yg bagus bagus banget awal pemakain produk ini syukur saya tidak alami purging dan telah beberapa bulan pakai fte kulit muka jadi rasa beda banget u a kulit muka ku yang tadi cenderung u a minyak kusam u a dan jerawat jadi u a rasa lebih lembab tapi tidak minyak lihat glowing walaupun kurang tidur sekalipun dan yang pasti tidak mesti touch up kali kali karena efek yg cerah dan buat kulit kusam hilang u a dari segi kemas benar saya suka suka saja cara botol buat dari kaca u a memang agak berat kalau mesti bawa travelling ,0,0,1,0
14,waktu itu caper mini sizenya dari astalift. untuk mencegah penuaan dini sih jadi aku pakai di sekitar agian leher saja. melembabkan kuli banget dan teksturnya beneran kayak jelly haha. abis di colek gak lama baliklagi jadi rata. teksturnya ringan dan gak berasa lengket dikulit.,waktu itu caper mini sizenya dari astalift untuk cegah tua dini sih jadi saya pakai di sekitar agian leher saja melembabkan kuli banget dan tekstur sangat seperti jelly haha habis di colek tidak lama baliklagi jadi rata tekstur ringan dan tidak rasa lengket kulit ,0,0,1,0
15,"the price is really affordable and it can clean my makeup or any dirt on my face pretty well.  cuma sayangnya, aromanya menusuk sekali dan ada sensasi perih di wajah setelah dibersihkan menggunakan produk ini :( trus juga, it can burn your eyes when it's splashed accidentally :(",the price is really affordable and it can clean my makeup or any dirt on my face pretty well cuma sayang aroma tusuk sekali dan ada sensasi perih di wajah telah bersih guna produk ini terus juga it can burn your eyes when it splashed accidentally ,1,0,-1,-1
16,"produk ini adalah salah satu produk yang bisa bikin aku jatuh cinta pada pemakaian pertama.  karena dia tergolong sebagai serum, maka aku pakainya setelah fte -nya sk ii. walaupun ada kandungan alkoholnya, tapi menurutku dia sama sekali tidak bikin kulit kering. pakai ini bikin kulit terasa lembab, kenyal,  mencerahkan dan yang paling bikin seneng sih karena ga bikin purging. dia ada kandungan oksigennya juga yang katanya berfungsi untuk mengaktifkan energi sel dan vitalitas.",produk ini adalah salah satu produk yang bisa buat saya jatuh cinta pada pakai pertama karena dia golong bagai serum maka saya pakai telah fte nya sk ii walaupun ada kandung alkohol tapi turut dia sama sekali tidak buat kulit kering pakai ini buat kulit rasa lembab kenyal cerah dan yang paling buat senang sih karena tidak buat purging dia ada kandung oksigen juga yang kata fungsi untuk aktif energi sel dan vitalitas ,0,0,1,0
17,"awal-awal pakai agak aneh karena rasanya too moisturizing on my oily skin. tapi lama-lama jadi suka aja karena kalo ditimpa mattifying base\\\\/powder jatuhnya jadi oke. ngga bikin breakout juga. overall, a decent sunscreen and i might repurchase this.",awal awal pakai agak aneh karena rasa too moisturizing on my oily skin tapi lama lama jadi suka saja karena kalau timpa mattifying base powder jatuh jadi ok tidak buat breakout juga overall a decent sunscreen and i might repurchase this ,0,0,1,0
