,review_text,review_text_pre,price,packaging,product,aroma
0,"love it so much! awalnha aku bukan orang yg suka pakai sunblock karena aku gak suka sama efek lengketnya. namun sejak ketemu sama biore ini, aku jadi sukaa banget krn sublock ini sama sekali gak lengket di kulit. wanginya seger kayak ada citrusnya gitu and adem di wajah. selain itu juga sangat cepat meresap ke kulit wajah karena sifatnya yang water base",love it so much awalnya saya bukan orang yg suka pakai sunblock karena saya tidak suka sama efek lengketnya namun sejak ketemu sama biore ini saya jadi suka banget karena sublock ini sama sekali tidak lengket di kulit wanginya segar seperti ada citrusnya gitu and adem di wajah selain itu juga sangat cepat meresap ke kulit wajah karena sifatnya yang water base,0,0,1,1
1,"di kulitku yang kombinasi, sunscreen ini enak banget dipake pagi hari setelah mandi dan langsung cuss ngantor. apalagi dengan spf 50 yang pastinya lebih dari cukup untuk matahari pagi. teksturnya milky dan gampang menyerap di kulit. hasilnya matte-dewy dan ga ada whitecast sama sekali. ga bikin breakout or anything, langsung cocok dari awal pake. packagingnya juga bagus mungil lucu ringan, travel friendly banget. ini sunscreen favoritku untuk single use, so definitely repurchase!",di kulitku yang kombinasi sunscreen ini enak banget dipakai pagi hari setelah mandi dan langsung cuss ngantor apalagi dengan spf yang pastinya lebih dari cukup untuk matahari pagi teksturnya milky dan tidak ang menyerap di kulit hasilnya matte dewy dan tidak ada whitecast sama sekali tidak membuat breakout or anything langsung cocok dari awal pakai kemasan juga bagus mungil lucu ringan travel friendly banget ini sunscreen favoritku untuk single use so definitely repurchase ,0,1,1,0
2,"pacakginya gedee banget,,,ga travel friendly sama sekali,,uda gitu berharap banyak karena non alcohol.. eh malah tambah iritasi kulitku,,beruntusan malah jadi tambah banyak ...kulit jadi kusam..ga bakalan repurchase lagi ni sih",pacakginya besar banget tidak travel friendly sama sekali sudah gitu berharap banyak karena non alcohol eh malah tambah iritasi kulitku beruntusan malah jadi tambah banyak kulit jadi kusam tidak bakalan repurchase lagi ini sih,0,-1,-1,0
3,"wonder pore ini lumayan agak ngefek sih di aku, biasa pake ini buat toner. tapi untuk serinya wonder pore, kayaknya wonder pore ini agak biasa aja untuk ngecilin pori pori, tapi wonder pore freshner ini punya terobosan buat ngebasmi kuman dan cacing yang ada di kulit kita supaya kulit kita ngga berpori besar dan berminyak",wonder pore ini lumayan agak berpengaruh sih di saya biasa pakai ini buat toner tapi untuk serinya wonder pore sepertinya wonder pore ini agak biasa saja untuk ngecilin pori pori tapi wonder pore freshner ini punya terobosan buat ngebasmi kuman dan cacing yang ada di kulit kita supaya kulit kita tidak berpori besar dan berminyak,0,0,1,0
4,"kalo saya bilang mahal ya karena ga sesuai sama barangnya...  gak ampuh di kulit saya, ga mengangkat komedo menyeluruh, malah muncul whitehead disekitar pipi. seger sih dipakenya, tapi saya ga akan purchase ini lagi.. mengingat fungsinya yang tidak optimal.",kalau saya bilang mahal ya karena tidak sesuai sama barangnya tidak uh di kulit saya tidak mengangkat komedo menyeluruh malah muncul whitehead disekitar pipi segar sih dipakenya tapi saya tidak akan purchase ini lagi mengingat fungsinya yang tidak optimal ,-1,0,-1,0
5,"untuk serum vitamin c kadar 20% dengan harga segitu bener2 menarik untuk dicoba.  sudah hampir sebulan aku pake serum ini, mukaku agak cerahan, wajah juga lebih kencang. untuk acne scarsnya sendiri, masi tetep ada dan belum hilang. mungkin harus nunggu lebih lama lagi biar keluar efeknya  vitamin c ini bener-bener ga stabil. aku saranin begitu dibuka, langsung ganti ke pipet yang sudah disediain. terus langsung taruh di kulkas. ketika mau ditemplokin ke wajah, alangkah baiknya botolnya ditutup. karena kebanyakan dari kita kalo mau ngusapin sesuatu ke wajah, produknya lupa ga ditutup dan baru ditutup ketika selesai. simpan sekaligus bareng boxnya juga biar mengurangi terkena cahaya",untuk serum vitamin c kadar dengan harga segitu bener menarik untuk dicoba sudah h ir sebulan saya pakai serum ini mukaku agak cerahan wajah juga lebih kencang untuk acne scarsnya sendiri masi tetap ada dan belum hilang mungkin harus nunggu lebih lama lagi agar keluar efeknya vitamin c ini bener bener tidak stabil saya saranin begitu dibuka langsung ganti ke pipet yang sudah disediain terus langsung taruh di kulkas ketika mau ditemplokin ke wajah alangkah baiknya botolnya ditutup karena kebanyakan dari kita kalau mau ngusapin sesuatu ke wajah produknya lupa tidak ditutup dan baru ditutup ketika selesai simpan sekaligus bareng boxnya juga agar mengurangi terkena cahaya,0,0,1,0
6,karna aku pecinta sunblock jadi hampir semua sunblock aku cobain. dan ini salah satu favorite ku. hasil nya gak begitu white cast. packaging nya bagus&quot; aja. isi nya banyak pake nya dikit banget udah bisa semuka dan seleher. harga nya lumayan mahal. bisa di cari di supermarket gede tapi di carefour ga ada ya. spf nya gede suka banget sama spf yang tinggi.,karena saya pecinta sunblock jadi h ir semua sunblock saya mencoba dan ini salah satu favorite ku hasil nya tidak begitu white cast packaging nya bagus saja isi nya banyak pakai nya dikit banget sudah bisa semuka dan seleher harga nya lumayan mahal bisa di cari di supermarket besar tapi di carefour tidak ada ya spf nya besar suka banget sama spf yang tinggi ,-1,1,1,0
7,udah dua kali repurchase serum ini. serum ini cepet banget nyerap dikulit dan jadi lembab sepanjang hari hihii kulit saya jadi kencang. tapi serum ini makin lama makin mahal harganya. kalo ada budget lebih saya akan repurchase serum kesayangan ini.,sudah dua kali repurchase serum ini serum ini cepat banget menyerap dikulit dan jadi lembab sepanjang hari hihii kulit saya jadi kencang tapi serum ini makin lama makin mahal harganya kalau ada budget lebih saya akan repurchase serum kesayangan ini ,-1,0,1,0
8,pros wanginya enak scrub nya oke ga terlalu kasar cukup buat ngangkat kotoran dan bikin kulit halus  harga terjangkau  packaging okelah so so sih tapi dengan harga segini cukup kepake lama sih   cons - one of my fave   repurchase: yes,pros wanginya enak scrub nya ok tidak terlalu kasar cukup buat ngangkat kotoran dan membuat kulit halus harga terjangkau packaging okelah so so sih tapi dengan harga segini cukup kepake lama sih cons one of my favorit repurchase yes,1,0,1,1
9,"the best (red) lipstick ever!! ini merupakan lipstick merah dan lipstick mac pertama yang saya beli. waktu itu belinya cuma gara2 packaging-nya bagus banget wonder woman (krn saya pencinta wonder woman hehe).. anyway, suka banget dengan warna merah, it brightens my face.. i don't know how. bahkan ketika sedang tidak pakai makeup sekalipun, lipstick ini udah cukup bikin wajah terlihat cling. saya juga punya ruby woo, tapi warna merahnya seperti terlalu mencolok dan tekstur retro matte itu lebih kering dibandingkan tekstur matte russian red ini. love.. love.. love.. definitely must have red lipstick!",the best red lipstick ever ini merupakan lipstick merah dan lipstick mac pertama yang saya beli waktu itu belinya cuma gara packaging nya bagus banget wonder woman karena saya pencinta wonder woman hehe anyway suka banget dengan warna merah it brightens my face i do not know how bahkan ketika sedang tidak pakai makeup sekalipun lipstick ini sudah cukup membuat wajah terlihat cling saya juga punya ruby woo tapi warna merahnya seperti terlalu mencolok dan tekstur retro matte itu lebih kering dibandingkan tekstur matte russian red ini love love love definitely must have red lipstick ,0,1,1,0
