,review_text,review_text_pre,price,packaging,product,aroma
0,"sangat menyukainya! Awalnya saya bukanlah orang yang suka menggunakan sunblock karena saya tidak suka efek lengketnya. Tapi sejak saya bertemu Biore, saya sangat suka sublock ini karena sama sekali tidak menempel di kulit saya. baunya segar seperti ada jeruk dan sejuk di wajah selain itu juga sangat cepat meresap ke dalam kulit wajah karena sifatnya yang water based.",sangat menyukainya awalnya bukanlah orang suka menggunakan sunblock tidak suka efek lengketnya sejak bertemu biore sangat suka sublock sama sekali tidak menempel kulit aromanya segar jeruk sejuk wajah sangat cepat meresap kulit wajah sifatnya water based ,0,0,1,1
1,"Pada kulit kombinasi saya, tabir surya ini sangat bagus untuk digunakan di pagi hari setelah mandi dan langsung mengumpat di kantor. apalagi dengan SPF 50 yang tentunya lebih dari cukup untuk sinar matahari pagi. tekstur seperti susu dan mudah meresap ke dalam kulit. hasilnya matte-dewy dan tidak ada whitecast sama sekali. tidak membuat breakout atau apapun, itu cocok sejak awal. kemasannya juga bagus, lucu, ringan, ramah banget travelnya. Ini adalah tabir surya favorit saya untuk sekali pakai, jadi pasti beli kembali!", kulit kombinasi tabir surya sangat bagus digunakan pagi hari mandi langsung mengumpat kantor spf tentunya lebih cukup sinar matahari pagi tekstur susu mudah meresap kulit hasilnya matte dewy tidak whitecast sama sekali tidak membuat breakout apapun cocok sejak awal kemasannya bagus lucu ringan ramah banget travelnya tabir surya favorit sekali pakai jadi beli ,0,1,1,0
2,"pacakgnya benar-benar gedee ,,, tidak ramah perjalanan sama sekali ,, saya harap banyak karena tidak beralkohol .. eh malah mengiritasi kulit saya, malah semakin bertambah ... kulit menjadi kusam..tidak mau membeli kembali ini lagi",pacakgnya benar benar besar tidak ramah perjalanan sama sekali harap banyak tidak beralkohol malah mengiritasi kulit malah semakin bertambah kulit menjadi kusam tidak mau membeli ,0,-1,-1,0
3,"Pori ajaib ini benar-benar mempengaruhi saya, saya biasanya menggunakan ini untuk toner. Namun untuk wonder pore series, sepertinya wonder pore ini agak sedikit biasa untuk pori-pori yang keriput, namun wonder pore freshner ini memiliki terobosan untuk membasmi kuman dan cacing di kulit kita sehingga kulit kita tidak memiliki pori-pori yang besar dan berminyak.",pori ajaib benar benar mempengaruhi biasanya menggunakan toner wonder pore series sepertinya wonder pore sedikit biasa pori pori keriput wonder pore freshner memiliki terobosan membasmi kuman cacing kulit kulit tidak memiliki pori pori besar berminyak ,0,0,1,0
4,"kalau saya bilang mahal karena tidak cocok dengan barangnya ... tidak bekerja pada kulit saya, tidak menghilangkan komedo seluruhnya, malah muncul whitehead di sekitar pipi. Ini baru digunakan, tapi saya tidak akan membeli ini lagi ... mengingat fungsinya yang tidak optimal.",kalau bilang mahal tidak cocok barangnya tidak bekerja kulit tidak menghilangkan komedo seluruhnya malah muncul whitehead pipi baru digunakan tidak membeli mengingat fungsinya tidak optimal ,-1,0,-1,0
5,"untuk serum vitamin c kadar 20% dengan harga segitu menarik banget untuk dicoba. Sudah hampir sebulan saya menggunakan serum ini, wajah saya sedikit lebih cerah, wajah saya juga lebih kencang. Untuk bekas jerawatnya sendiri masih ada dan belum hilang. mungkin kalian harus menunggu agak lama biar efek vitamin C ini benar-benar tidak stabil. Saya anjurkan begitu dibuka, segera ganti pipet yang sudah disediakan. lalu segera masukkan ke dalam lemari es. ketika ingin memakaikannya di wajah anda, akan lebih baik jika botolnya ditutup. karena kebanyakan dari kita, jika kita ingin menggosok sesuatu di wajah kita, produk lupa untuk tidak menutup dan hanya menutup ketika sudah selesai. simpan pada saat yang sama dengan kotak juga untuk mengurangi paparan cahaya", serum vitamin c kadar harga segitu menarik banget dicoba h ir sebulan menggunakan serum wajah sedikit lebih cerah wajah lebih kencang bekas jerawatnya sendiri hilang mungkin kalian menunggu lama efek vitamin c benar benar tidak stabil anjurkan dibuka segera ganti pipet disediakan lalu segera masukkan lemari es memakaikannya wajah lebih baik botolnya ditutup kebanyakan menggosok wajah produk lupa tidak menutup menutup selesai simpan sama kotak mengurangi paparan cahaya,0,0,1,0
6,"Karena saya pecinta sunblock, saya mencoba hampir semua sunblock. dan ini adalah salah satu favorit saya hasilnya tidak seperti gips putih. kemasannya bagus & quot; aja. isinya banyak kegunaan, jadi sedikit yang bisa saya suka dan leher. harganya lumayan mahal. Anda dapat menemukannya di supermarket besar, tetapi tidak ada CareFour. spf besar sangat suka spf tinggi", pecinta sunblock mencoba h ir semua sunblock salah satu favorit hasilnya tidak gips putih kemasannya bagus isinya banyak kegunaan jadi sedikit suka leher harganya lumayan mahal menemukannya supermarket besar tidak spf besar sangat suka spf tinggi,-1,1,1,0
7,Saya telah membeli kembali serum ini dua kali. Serum ini benar-benar menyerap kulit dan melembabkan sepanjang hari kulit saya kencang. tapi serum ini semakin mahal. jika ada bujet lebih saya akan membeli kembali serum favorit ini., membeli serum kali serum benar benar menyerap kulit melembabkan sepanjang hari kulit kencang serum semakin mahal bujet lebih membeli serum favorit ,-1,0,1,0
8,"pro wangi lulur oke tidak terlalu kasar untuk menghilangkan kotoran dan menghaluskan kulit, harga terjangkau, kemasan oke, tapi dengan harga ini butuh waktu yang lumayan lama kontra - salah satu favorit saya untuk membeli kembali: ya",pro wangi lulur tidak terlalu kasar menghilangkan kotoran menghaluskan kulit harga terjangkau kemasan harga butuh waktu lumayan lama kontra salah satu favorit membeli ,1,0,1,1
9,"lipstik (merah) terbaik !! ini adalah lipstik merah dan lipstik mac pertama yang saya beli. Waktu itu saya hanya beli karena kemasannya bagus banget. Wonder woman (karena saya pecinta wonder woman hehe) .. pokoknya saya suka banget merah, mencerahkan wajah saya .. entah bagaimana. Meski sedang tidak menggunakan riasan, lipstik ini cukup membuat wajah Anda terlihat lekat. Saya juga punya woo ruby, tapi warna merahnya terlihat terlalu mencolok dan tekstur retro matte lebih kering dari tekstur merah Rusia matte ini. cinta .. cinta .. cinta .. pasti harus punya lipstik merah!",lipstick merah terbaik lipstick merah lipstick mac pertama beli waktu beli kemasannya bagus banget wonder woman pecinta wonder woman pokoknya suka banget merah mencerahkan wajah entah bagaimana meski sedang tidak menggunakan riasan lipstick cukup membuat wajah terlihat lekat punya ruby warna merahnya terlihat terlalu mencolok tekstur retro matte lebih kering tekstur merah rusia matte cinta cinta cinta punya lipstick merah ,0,1,1,0
