,review_text,review_text_pre,price,packaging,product,aroma
0,"sangat menyukainya! Awalnya saya bukanlah orang yang suka menggunakan sunblock karena saya tidak suka efek lengketnya. Tapi sejak saya bertemu Biore, saya sangat suka sublock ini karena sama sekali tidak menempel di kulit saya. baunya segar seperti ada jeruk dan sejuk di wajah selain itu juga sangat cepat meresap ke dalam kulit wajah karena sifatnya yang water based.",sangat suka awal saya bukan orang yang suka guna sunblock karena saya tidak suka efek lengket tapi sejak saya temu biore saya sangat suka sublock ini karena sama sekali tidak tempel di kulit saya aroma segar seperti ada jeruk dan sejuk di wajah selain itu juga sangat cepat resap ke dalam kulit wajah karena sifat yang water based ,0,0,1,1
1,"Pada kulit kombinasi saya, tabir surya ini sangat bagus untuk digunakan di pagi hari setelah mandi dan langsung mengumpat di kantor. apalagi dengan SPF 50 yang tentunya lebih dari cukup untuk sinar matahari pagi. tekstur seperti susu dan mudah meresap ke dalam kulit. hasilnya matte-dewy dan tidak ada whitecast sama sekali. tidak membuat breakout atau apapun, itu cocok sejak awal. kemasannya juga bagus, lucu, ringan, ramah banget travelnya. Ini adalah tabir surya favorit saya untuk sekali pakai, jadi pasti beli kembali!",pada kulit kombinasi saya tabir surya ini sangat bagus untuk guna di pagi hari telah mandi dan langsung umpat di kantor apalagi dengan spf yang tentu lebih dari cukup untuk sinar matahari pagi tekstur seperti susu dan mudah resap ke dalam kulit hasil matte dewy dan tidak ada whitecast sama sekali tidak buat breakout atau apa itu cocok sejak awal kemas juga bagus lucu ringan ramah banget travelnya ini adalah tabir surya favorit saya untuk sekali pakai jadi pasti beli kembali ,0,1,1,0
2,"pacakgnya benar-benar gedee ,,, tidak ramah perjalanan sama sekali ,, saya harap banyak karena tidak beralkohol .. eh malah mengiritasi kulit saya, malah semakin bertambah ... kulit menjadi kusam..tidak mau membeli kembali ini lagi",pacakgnya benar benar besar tidak ramah jalan sama sekali saya harap banyak karena tidak alkohol eh malah iritasi kulit saya malah makin tambah kulit jadi kusam tidak mau beli kembali ini lagi,0,-1,-1,0
3,"Pori ajaib ini benar-benar mempengaruhi saya, saya biasanya menggunakan ini untuk toner. Namun untuk wonder pore series, sepertinya wonder pore ini agak sedikit biasa untuk pori-pori yang keriput, namun wonder pore freshner ini memiliki terobosan untuk membasmi kuman dan cacing di kulit kita sehingga kulit kita tidak memiliki pori-pori yang besar dan berminyak.",pori ajaib ini benar benar pengaruh saya saya biasa guna ini untuk toner namun untuk wonder pore series seperti wonder pore ini agak sedikit biasa untuk pori pori yang keriput namun wonder pore freshner ini milik terobos untuk basmi kuman dan cacing di kulit kita sehingga kulit kita tidak milik pori pori yang besar dan minyak ,0,0,1,0
4,"kalau saya bilang mahal karena tidak cocok dengan barangnya ... tidak bekerja pada kulit saya, tidak menghilangkan komedo seluruhnya, malah muncul whitehead di sekitar pipi. Ini baru digunakan, tapi saya tidak akan membeli ini lagi ... mengingat fungsinya yang tidak optimal.",kalau saya bilang mahal karena tidak cocok dengan barang tidak kerja pada kulit saya tidak hilang komedo seluruh malah muncul whitehead di sekitar pipi ini baru guna tapi saya tidak akan beli ini lagi ingat fungsi yang tidak optimal ,-1,0,-1,0
5,"untuk serum vitamin c kadar 20% dengan harga segitu menarik banget untuk dicoba. Sudah hampir sebulan saya menggunakan serum ini, wajah saya sedikit lebih cerah, wajah saya juga lebih kencang. Untuk bekas jerawatnya sendiri masih ada dan belum hilang. mungkin kalian harus menunggu agak lama biar efek vitamin C ini benar-benar tidak stabil. Saya anjurkan begitu dibuka, segera ganti pipet yang sudah disediakan. lalu segera masukkan ke dalam lemari es. ketika ingin memakaikannya di wajah anda, akan lebih baik jika botolnya ditutup. karena kebanyakan dari kita, jika kita ingin menggosok sesuatu di wajah kita, produk lupa untuk tidak menutup dan hanya menutup ketika sudah selesai. simpan pada saat yang sama dengan kotak juga untuk mengurangi paparan cahaya",untuk serum vitamin c kadar dengan harga segitu tarik banget untuk coba sudah h ir bulan saya guna serum ini wajah saya sedikit lebih cerah wajah saya juga lebih kencang untuk bekas jerawat sendiri masih ada dan belum hilang mungkin kalian harus tunggu agak lama agar efek vitamin c ini benar benar tidak stabil saya anjur begitu buka segera ganti pipet yang sudah sedia lalu segera masuk ke dalam lemari es ketika ingin pakai di wajah anda akan lebih baik jika botol tutup karena banyak dari kita jika kita ingin gosok sesuatu di wajah kita produk lupa untuk tidak tutup dan hanya tutup ketika sudah selesai simpan pada saat yang sama dengan kotak juga untuk kurang papar cahaya,0,0,1,0
6,"Karena saya pecinta sunblock, saya mencoba hampir semua sunblock. dan ini adalah salah satu favorit saya hasilnya tidak seperti gips putih. kemasannya bagus & quot; aja. isinya banyak kegunaan, jadi sedikit yang bisa saya suka dan leher. harganya lumayan mahal. Anda dapat menemukannya di supermarket besar, tetapi tidak ada CareFour. spf besar sangat suka spf tinggi",karena saya cinta sunblock saya coba h ir semua sunblock dan ini adalah salah satu favorit saya hasil tidak seperti gips putih kemas bagus saja isi banyak guna jadi sedikit yang bisa saya suka dan leher harga lumayan mahal anda dapat temu di supermarket besar tetapi tidak ada carefour spf besar sangat suka spf tinggi,-1,1,1,0
7,Saya telah membeli kembali serum ini dua kali. Serum ini benar-benar menyerap kulit dan melembabkan sepanjang hari kulit saya kencang. tapi serum ini semakin mahal. jika ada bujet lebih saya akan membeli kembali serum favorit ini.,saya telah beli kembali serum ini dua kali serum ini benar benar serap kulit dan melembabkan panjang hari kulit saya kencang tapi serum ini makin mahal jika ada bujet lebih saya akan beli kembali serum favorit ini ,-1,0,1,0
8,"pro wangi lulur oke tidak terlalu kasar untuk menghilangkan kotoran dan menghaluskan kulit, harga terjangkau, kemasan oke, tapi dengan harga ini butuh waktu yang lumayan lama kontra - salah satu favorit saya untuk membeli kembali: ya",pro wangi lulur ok tidak terlalu kasar untuk hilang kotor dan halus kulit harga jangkau kemas ok tapi dengan harga ini butuh waktu yang lumayan lama kontra salah satu favorit saya untuk beli kembali ya,1,0,1,1
9,"lipstik (merah) terbaik !! ini adalah lipstik merah dan lipstik mac pertama yang saya beli. Waktu itu saya hanya beli karena kemasannya bagus banget. Wonder woman (karena saya pecinta wonder woman hehe) .. pokoknya saya suka banget merah, mencerahkan wajah saya .. entah bagaimana. Meski sedang tidak menggunakan riasan, lipstik ini cukup membuat wajah Anda terlihat lekat. Saya juga punya woo ruby, tapi warna merahnya terlihat terlalu mencolok dan tekstur retro matte lebih kering dari tekstur merah Rusia matte ini. cinta .. cinta .. cinta .. pasti harus punya lipstik merah!",lipstick merah baik ini adalah lipstick merah dan lipstick mac pertama yang saya beli waktu itu saya hanya beli karena kemas bagus banget wonder woman karena saya cinta wonder woman hehe pokok saya suka banget merah cerah wajah saya entah bagaimana meski sedang tidak guna rias lipstick ini cukup buat wajah anda lihat lekat saya juga punya woo ruby tapi warna merah lihat terlalu colok dan tekstur retro matte lebih kering dari tekstur merah rusia matte ini cinta cinta cinta pasti harus punya lipstick merah ,0,1,1,0
10,"Toner ini wangi! Saya sangat membeli toner ini karena saya suka baunya. bibi dan adikku juga memakainya dan itu sangat pas. Sayangnya produk ini sepertinya memiliki kandungan alkohol yang tinggi sehingga membuat kulit saya lebih kering. beberapa kali menggunakannya, itu muncul di kulit saya, jadi saya tidak terus menggunakannya lagi.",toner ini wangi saya sangat beli toner ini karena saya suka aroma bibi dan adik juga maka dan itu sangat pas sayang produk ini seperti milik kandung alkohol yang tinggi sehingga buat kulit saya lebih kering beberapa kali guna itu muncul di kulit saya jadi saya tidak terus guna lagi ,0,0,-1,1
11,"Serum ini lebih dikenal dengan CCDSS yang merupakan singkatan dari long bangets. Saya sangat suka menggunakan serum ini tapi biasanya tidak menggunakannya di seluruh alias seluruh wajah, hanya di bagian tertentu saja yang nampak muncul flek hitam atau di area yang sudah berjerawat untuk menyamarkan warnanya agar tidak menjadi titik gelap. Teksturnya cair tapi agak kental, mudah diaplikasikan dan meresap ke dalam kulit. Biasanya wajah terlihat sedikit lebih cerah setelah lama pemakaian, namun untuk flek hitam atau menghilangkan bekas jerawat yang sudah menghitam butuh waktu agak lama, namun untuk bekas jerawat yang baru muncul saat dipakai langsung secara rutin bisa menyamarkan dan hilang. tanpa jejak. jadi sebaiknya gunakan serum ini segera setelah jerawat mengempis agar tidak menimbulkan bekas luka yang mengganggu nantinya.",serum ini lebih kenal dengan ccdss yang rupa singkat dari long bangets saya sangat suka guna serum ini tapi biasa tidak guna di seluruh alias seluruh wajah hanya di bagi tentu saja yang dan saya muncul flek hitam atau di area yang sudah jerawat untuk samar warna agar tidak jadi titik gelap tekstur cair tapi agak kental mudah aplikasi dan resap ke dalam kulit biasa wajah lihat sedikit lebih cerah telah lama pakai namun untuk flek hitam atau hilang bekas jerawat yang sudah hitam butuh waktu agak lama namun untuk bekas jerawat yang baru muncul saat pakai langsung cara rutin bisa samar dan hilang tanpa jejak jadi baik guna serum ini segera telah jerawat kempis agar tidak timbul bekas luka yang ganggu nanti ,0,0,1,0
12,"harga mulai dari USD 27 sebenarnya karena ada beberapa ukuran. produk perawatan kulit terbaik yang pernah saya coba. Kondisi kulit saya telah meningkat pesat sejak memasukkan lotion p50 ini ke dalam ritual perawatan kulit harian saya. kulit saya jauh lebih cerah, bercahaya, dan rasanya semua kulit mati saya terangkat dengan baik setiap kali saya menggunakan produk ini. mengandung asam laktat dan gliserin. awalnya agak kaget dengan baunya dan saat pertama menggunakannya, terasa perih. tapi hanya 1-2 hari, setelah itu normal. Kadang sakitnya masih ada tergantung kondisi kulit, tapi sakitnya menyenangkan :) Saya pakai ini hanya malam hari, setelah double cleanse sebagai toner pertama. setelah ini kalau mau pakai serum tanpa 2nd toner (hydrating) oke lah. sudah membeli botol ke-2. dan saya merasa seperti saya tidak akan pernah bisa menghilangkan lotion p50 ini di lini perawatan kulit saya.",harga mulai dari usd benar karena ada beberapa ukur produk awat kulit baik yang pernah saya coba kondisi kulit saya telah tingkat pesat sejak masuk lotion p ini ke dalam ritual awat kulit hari saya kulit saya jauh lebih cerah cahaya dan rasa semua kulit mati saya angkat dengan baik tiap kali saya guna produk ini kandung asam laktat dan gliserin awal agak kaget dengan aroma dan saat pertama guna rasa perih tapi hanya hari telah itu normal kadang sakit masih ada gantung kondisi kulit tapi sakit senang saya pakai ini hanya malam hari telah double cleanse bagai toner pertama telah ini kalau mau pakai serum tanpa nd toner hydrating ok lah sudah beli botol ke dan saya rasa seperti saya tidak akan pernah bisa hilang lotion p ini di lini awat kulit saya ,-1,0,1,0
13,"sekitar 6 bulan yang lalu saya mulai menggunakan fte ini karena saya membaca reviewnya, yang sangat bagus, pertama kali saya menggunakan produk ini, untungnya saya tidak mengalami purging, dan setelah beberapa bulan menggunakan Fte kulit wajah saya terasa sangat berbeda , \ u00a0 kulit wajah saya yang cenderung \ u00a0 u00a0, kusam dan rawan jerawat terasa lebih lembab tapi tidak berminyak, tampak bercahaya meski tidak tidur, dan tentunya tidak perlu berkali-kali touch up karena efeknya mencerahkan dan membuat kulit kusam. , karena botolnya terbuat dari kaca, jadi agak berat jika harus dibawa bepergian.",sekitar bulan yang lalu saya mulai guna fte ini karena saya baca reviewnya yang sangat bagus pertama kali saya guna produk ini untung saya tidak alami purging dan telah beberapa bulan guna fte kulit wajah saya rasa sangat beda u a kulit wajah saya yang cenderung u a u a kusam dan rawan jerawat rasa lebih lembab tapi tidak minyak t saya cahaya meski tidak tidur dan tentu tidak perlu kali kali touch up karena efek cerah dan buat kulit kusam karena botol buat dari kaca jadi agak berat jika harus bawa pergi ,0,0,1,0
14,"pada saat itu caper ukuran mini berasal dari astalift. untuk mencegah penuaan dini, jadi saya pakai saja di sekitar leher. melembabkan banget kuli dan teksturnya kayak jelly haha. setelah dioleskan, tidak butuh waktu lama untuk kembali mendatar. Teksturnya ringan dan tidak terasa lengket di kulit.",pada saat itu caper ukur mini asal dari astalift untuk cegah tua dini jadi saya pakai saja di sekitar leher melembabkan banget kuli dan tekstur seperti jelly haha telah oles tidak butuh waktu lama untuk kembali datar tekstur ringan dan tidak rasa lengket di kulit ,0,0,1,0
