,price,packaging,product,aroma,review_text
74,0,0,1,1,"love it so much! awalnha aku bukan orang yg suka pakai sunblock karena aku gak suka sama efek lengketnya. namun sejak ketemu sama biore ini, aku jadi sukaa banget krn sublock ini sama sekali gak lengket di kulit. wanginya seger kayak ada citrusnya gitu and adem di wajah. selain itu juga sangat cepat meresap ke kulit wajah karena sifatnya yang water base"
106,0,1,1,0,"di kulitku yang kombinasi, sunscreen ini enak banget dipake pagi hari setelah mandi dan langsung cuss ngantor. apalagi dengan spf 50 yang pastinya lebih dari cukup untuk matahari pagi. teksturnya milky dan gampang menyerap di kulit. hasilnya matte-dewy dan ga ada whitecast sama sekali. ga bikin breakout or anything, langsung cocok dari awal pake. packagingnya juga bagus mungil lucu ringan, travel friendly banget. ini sunscreen favoritku untuk single use, so definitely repurchase!"
2302,0,-1,-1,0,"pacakginya gedee banget,,,ga travel friendly sama sekali,,uda gitu berharap banyak karena non alcohol.. eh malah tambah iritasi kulitku,,beruntusan malah jadi tambah banyak ...kulit jadi kusam..ga bakalan repurchase lagi ni sih"
1760,0,0,1,0,"wonder pore ini lumayan agak ngefek sih di aku, biasa pake ini buat toner. tapi untuk serinya wonder pore, kayaknya wonder pore ini agak biasa aja untuk ngecilin pori pori, tapi wonder pore freshner ini punya terobosan buat ngebasmi kuman dan cacing yang ada di kulit kita supaya kulit kita ngga berpori besar dan berminyak"
2266,-1,0,-1,0,"kalo saya bilang mahal ya karena ga sesuai sama barangnya...  gak ampuh di kulit saya, ga mengangkat komedo menyeluruh, malah muncul whitehead disekitar pipi. seger sih dipakenya, tapi saya ga akan purchase ini lagi.. mengingat fungsinya yang tidak optimal."
3503,0,0,1,0,"untuk serum vitamin c kadar 20% dengan harga segitu bener2 menarik untuk dicoba.  sudah hampir sebulan aku pake serum ini, mukaku agak cerahan, wajah juga lebih kencang. untuk acne scarsnya sendiri, masi tetep ada dan belum hilang. mungkin harus nunggu lebih lama lagi biar keluar efeknya  vitamin c ini bener-bener ga stabil. aku saranin begitu dibuka, langsung ganti ke pipet yang sudah disediain. terus langsung taruh di kulkas. ketika mau ditemplokin ke wajah, alangkah baiknya botolnya ditutup. karena kebanyakan dari kita kalo mau ngusapin sesuatu ke wajah, produknya lupa ga ditutup dan baru ditutup ketika selesai. simpan sekaligus bareng boxnya juga biar mengurangi terkena cahaya"
425,-1,1,1,0,karna aku pecinta sunblock jadi hampir semua sunblock aku cobain. dan ini salah satu favorite ku. hasil nya gak begitu white cast. packaging nya bagus&quot; aja. isi nya banyak pake nya dikit banget udah bisa semuka dan seleher. harga nya lumayan mahal. bisa di cari di supermarket gede tapi di carefour ga ada ya. spf nya gede suka banget sama spf yang tinggi.
3223,-1,0,1,0,udah dua kali repurchase serum ini. serum ini cepet banget nyerap dikulit dan jadi lembab sepanjang hari hihii kulit saya jadi kencang. tapi serum ini makin lama makin mahal harganya. kalo ada budget lebih saya akan repurchase serum kesayangan ini.
4605,1,0,1,1,pros wanginya enak scrub nya oke ga terlalu kasar cukup buat ngangkat kotoran dan bikin kulit halus  harga terjangkau  packaging okelah so so sih tapi dengan harga segini cukup kepake lama sih   cons - one of my fave   repurchase: yes
831,0,1,1,0,"the best (red) lipstick ever!! ini merupakan lipstick merah dan lipstick mac pertama yang saya beli. waktu itu belinya cuma gara2 packaging-nya bagus banget wonder woman (krn saya pencinta wonder woman hehe).. anyway, suka banget dengan warna merah, it brightens my face.. i don't know how. bahkan ketika sedang tidak pakai makeup sekalipun, lipstick ini udah cukup bikin wajah terlihat cling. saya juga punya ruby woo, tapi warna merahnya seperti terlalu mencolok dan tekstur retro matte itu lebih kering dibandingkan tekstur matte russian red ini. love.. love.. love.. definitely must have red lipstick!"
