,price,packaging,product,aroma,review_text
74,0,0,1,1,"sangat menyukainya! Awalnya saya bukanlah orang yang suka menggunakan sunblock karena saya tidak suka efek lengketnya. Tapi sejak saya bertemu Biore, saya sangat suka sublock ini karena sama sekali tidak menempel di kulit saya. baunya segar seperti ada jeruk dan sejuk di wajah selain itu juga sangat cepat meresap ke dalam kulit wajah karena sifatnya yang water based."
106,0,1,1,0,"Pada kulit kombinasi saya, tabir surya ini sangat bagus untuk digunakan di pagi hari setelah mandi dan langsung mengumpat di kantor. apalagi dengan SPF 50 yang tentunya lebih dari cukup untuk sinar matahari pagi. tekstur seperti susu dan mudah meresap ke dalam kulit. hasilnya matte-dewy dan tidak ada whitecast sama sekali. tidak membuat breakout atau apapun, itu cocok sejak awal. kemasannya juga bagus, lucu, ringan, ramah banget travelnya. Ini adalah tabir surya favorit saya untuk sekali pakai, jadi pasti beli kembali!"
2302,0,-1,-1,0,"pacakgnya benar-benar gedee ,,, tidak ramah perjalanan sama sekali ,, saya harap banyak karena tidak beralkohol .. eh malah mengiritasi kulit saya, malah semakin bertambah ... kulit menjadi kusam..tidak mau membeli kembali ini lagi"
1760,0,0,1,0,"Pori ajaib ini benar-benar mempengaruhi saya, saya biasanya menggunakan ini untuk toner. Namun untuk wonder pore series, sepertinya wonder pore ini agak sedikit biasa untuk pori-pori yang keriput, namun wonder pore freshner ini memiliki terobosan untuk membasmi kuman dan cacing di kulit kita sehingga kulit kita tidak memiliki pori-pori yang besar dan berminyak."
2266,-1,0,-1,0,"kalau saya bilang mahal karena tidak cocok dengan barangnya ... tidak bekerja pada kulit saya, tidak menghilangkan komedo seluruhnya, malah muncul whitehead di sekitar pipi. Ini baru digunakan, tapi saya tidak akan membeli ini lagi ... mengingat fungsinya yang tidak optimal."
3503,0,0,1,0,"untuk serum vitamin c kadar 20% dengan harga segitu menarik banget untuk dicoba. Sudah hampir sebulan saya menggunakan serum ini, wajah saya sedikit lebih cerah, wajah saya juga lebih kencang. Untuk bekas jerawatnya sendiri masih ada dan belum hilang. mungkin kalian harus menunggu agak lama biar efek vitamin C ini benar-benar tidak stabil. Saya anjurkan begitu dibuka, segera ganti pipet yang sudah disediakan. lalu segera masukkan ke dalam lemari es. ketika ingin memakaikannya di wajah anda, akan lebih baik jika botolnya ditutup. karena kebanyakan dari kita, jika kita ingin menggosok sesuatu di wajah kita, produk lupa untuk tidak menutup dan hanya menutup ketika sudah selesai. simpan pada saat yang sama dengan kotak juga untuk mengurangi paparan cahaya"
425,-1,1,1,0,"Karena saya pecinta sunblock, saya mencoba hampir semua sunblock. dan ini adalah salah satu favorit saya hasilnya tidak seperti gips putih. kemasannya bagus & quot; aja. isinya banyak kegunaan, jadi sedikit yang bisa saya suka dan leher. harganya lumayan mahal. Anda dapat menemukannya di supermarket besar, tetapi tidak ada CareFour. spf besar sangat suka spf tinggi"
3223,-1,0,1,0,Saya telah membeli kembali serum ini dua kali. Serum ini benar-benar menyerap kulit dan melembabkan sepanjang hari kulit saya kencang. tapi serum ini semakin mahal. jika ada bujet lebih saya akan membeli kembali serum favorit ini.
4605,1,0,1,1,"pro wangi lulur oke tidak terlalu kasar untuk menghilangkan kotoran dan menghaluskan kulit, harga terjangkau, kemasan oke, tapi dengan harga ini butuh waktu yang lumayan lama kontra - salah satu favorit saya untuk membeli kembali: ya"
831,0,1,1,0,"lipstik (merah) terbaik !! ini adalah lipstik merah dan lipstik mac pertama yang saya beli. Waktu itu saya hanya beli karena kemasannya bagus banget. Wonder woman (karena saya pecinta wonder woman hehe) .. pokoknya saya suka banget merah, mencerahkan wajah saya .. entah bagaimana. Meski sedang tidak menggunakan riasan, lipstik ini cukup membuat wajah Anda terlihat lekat. Saya juga punya woo ruby, tapi warna merahnya terlihat terlalu mencolok dan tekstur retro matte lebih kering dari tekstur merah Rusia matte ini. cinta .. cinta .. cinta .. pasti harus punya lipstik merah!"
