,price,packaging,product,aroma,review_text
74,0,0,1,1,"sangat menyukainya! awalnha aku bukan orang yg suka pakai sunblock karena aku gak suka sama efek lengketnya. Namun sejak ketemu sama biore ini, aku jadi sukaa banget krn sublock ini sama sekali gak lengket di kulit. wanginya seger kayak ada citrusnya gitu dan adem di wajah. Selain itu juga sangat cepat meresap ke kulit wajah karena sifatnya yang water base"
106,0,1,1,0,"di kulitku yang kombinasi, sunscreen ini enak banget dipake pagi setelah mandi dan langsung cuss ngantor. apalagi dengan spf 50 yang pastinya lebih dari cukup untuk matahari pagi. teksturnya milky dan gampang menyerap di kulit. hasil matte-dewy dan ga ada whitecast sama sekali. ga bikin breakout atau apapun, langsung cocok dari awal pake. packagingnya juga bagus mungil lucu ringan, travel friendly banget. ini tabir surya favoritku untuk sekali pakai, jadi pasti beli kembali!"
2302,0,-1,-1,0,"pacakginya gedee banget ,,, ga travel friendly sama sekali ,, uda gitu berharap banyak karena non alcohol .. eh malah tambah iritasi kulitku ,, beruntusan malah jadi tambah banyak ... kulit jadi kusam..ga bakalan repurchase again ni sih"
1760,0,0,1,0,"wonder pore ini lumayan agak ngefek sih di aku, biasa pake ini buat toner. tapi untuk serinya wonder pore, kayaknya wonder pore ini agak biasa aja untuk ngecilin pori pori, tapi wonder pori freshner ini punya terobosan buat ngebasmi kuman dan cacing yang ada di kulit kita mengelola kulit kita ngga berpori besar dan berminyak"
2266,-1,0,-1,0,"kalo saya bilang mahal ya karena ga sesuai sama barangnya ... gak ampuh di kulit saya, ga mengangkat komedo menyeluruh, malah muncul whitehead disekitar pipi. seger sih dipakenya, tapi saya ga akan beli ini lagi .. mengingat fungsinya yang tidak optimal."
3503,0,0,1,0,"untuk serum vitamin c kadar 20% dengan harga segitu bener2 menarik untuk dicoba. sudah hampir sebulan aku pake serum ini, mukaku agak cerahan, wajah juga lebih kencang. untuk jerawat scarsnya sendiri, masi tetep ada dan belum hilang. mungkin harus nunggu lebih lama lagi biar keluar efeknya vitamin c ini bener-bener ga stabil. Aku saranin begitu terbuka, langsung ganti ke pipet yang sudah disediain. terus langsung taruh di kulkas. when mau ditemplokin ke wajah, alangkah terjaga botolnya ditutup. Karena kebanyakan dari kita kalo mau ngusapin sesuatu ke wajah, produknya lupa ga ditutup dan baru ditutup ketika selesai. simpan bareng kotaknya juga biar dikurangi cahaya"
425,-1,1,1,0,karna aku pecinta sunblock jadi hampir semua sunblock aku cobain. dan ini salah satu ku favorit. hasilnya gak begitu white cast. packaging nya bagus & quot; aja. isi nya banyak pake dikit banget udah bisa semuka dan seleher. harga nya lumayan mahal. bisa di cari di supermarket gede tapi di carefour ga ada ya. spf nya gede suka banget sama spf yang tinggi.
3223,-1,0,1,0,udah dua kali pembelian kembali serum ini. serum ini cepet banget nyerap dikulit dan jadi lembab sepanjang hari hihii kulit saya jadi kencang. tapi serum ini makin lama makin mahal harganya. kalo ada budget lebih saya akan membeli kembali serum kesayangan ini.
4605,1,0,1,1,pro wanginya enak scrub nya oke ga terlalu kasar cukup buat kotoran kotoran dan kulit halus harga terjangkau packaging okelah so so sih tapi dengan harga segini cukup kepake lama sih kontra - one of my fave repurchase: yes
831,0,1,1,0,"lipstik (merah) terbaik !! ini merupakan lipstik merah dan lipstik mac pertama yang saya beli. waktu itu belinya cuma gara2 packaging-nya bagus banget wonder woman (krn saya pencinta wonder woman hehe) .. pokoknya suka banget dengan warna merah, mencerahkan wajah saya .. entah bagaimana. bahkan ketika sedang tidak pakai makeup sekalipun, lipstik ini udah cukup bikin wajah terlihat cling. saya juga punya ruby ??woo, tapi warna merahnya terlalu mencolok dan tekstur retro matte itu lebih kering dibandingkan tekstur matte russian red ini. cinta .. cinta .. cinta .. pasti harus punya lipstik merah!"
2528,0,0,-1,1,"toner ini wanginya enak! beneran beli toner ini karena suka sama wanginya. adik sama tanteku juga pakai dan cocok banget. aplikasi ini sepertinya kandungan alkoholnya cukup tinggi jadi bikin kulitku tambah kering. beberapa kali pakai muncul bruntusan di kulitku, jadi nggak terusin pake lagi."
3538,0,0,1,0,"serum ini lebih dikenal dengan sebutan ccds singkatan dari namanya yang panjang bangets. suka banget pakai serum ini namun biasanya pakainya gak seluruh alias seluruh muka, hanya bagian tertentu saja yang tampak muncul dark spot atau di area yang pernah dihinggapi jerawat buat menyamarkan warna biar gak jadi dark spot. teksturnya yang cair namun sedikit kental pun mudah dioleskan dan menyerap ke dalam kulit. Biasanya agak terlihat cerah setelah beberapa lama pemakaian, namun untuk titik gelap atau menghilangkan bekas jerawat yang sudah menghitam agak butuh waktu yang lama, tetapi untuk bekas jerawat yang baru muncul kenalan langsung bisa menyamarkan dan hilang tak berbekas. jadi sebaiknya gunakan serum ini segera setelah jerawat mengempes agar tidak menimbulkan bekas yang mengganggu nantinya."
1158,-1,0,1,0,"harga mulai dari usd 27 sebenarnya karena ada beberapa ukuran. produk perawatan kulit terbaik yang pernah saya coba. Kondisi kulit saya meningkatkan banyak sejak memasukkan lotion p50 ini ke perawatan ritual kulit saya setiap hari. kulit saya jauh lebih cerah, bercahaya, dan rasanya seluruh kulit mati saya terangkat dengan baik setiap memakai produk ini. mengandung lactic acid dan glycerin. mulanya agak kaget dengan baunya dan pertama kali pakai, berasa perih. tapi hanya 1-2 hari, sesudah itu biasa. Kadang-kadang rasa perih masih ada tergantung kondisi kulit, tapi perih yang menyenangkan :) saya pakai ini hanya malam hari saja, sesudah double cleanse sebagai toner pertama. sesudah ini mau pakai serum tanpa 2nd toner (hydrating) pun tidak apa-apa. sudah beli botol ke-2. dan rasanya tidak akan pernah menghilangkan lotion p50 ini di jajaran perawatan kulit saya."
3025,0,0,1,0,"sekitar 6 bulan yang lalu aku mulai pake fte ini karena baca reviewnya yg bagus bagus banget, awal pemakain produk ini syukurnya aku ga mengalami purging, dan setelah beberapa bulan pemakaian fte kulit mukaku jadi berasa beda banget, \ u00a0 kulit muka ku yang tadinya cenderung \ u00a0berminya, kusam \ u00a0dan berjerawat jadi \ u00a0berasa lebih lembab tapi ga berminyak, keliatan glowing walaupun kurang tidur sekalipun, dan yang pasti ga mesti touch up berkali-kali karena efeknya yang mencerahkan dan bikin kulit kusam ilang. \ u00a0dari segi kemasan sebenarnya aku suka aja , secara botolnya terbuat dari kaca \ u00a0emang agak berat kalau mesti dibawa bepergian."
3424,0,0,1,0,waktu itu caper mini sizenya dari astalift. untuk mencegah penuaan dini sih jadi aku pakai di sekitar area leher saja. melembabkan kuli banget dan teksturnya beneran kayak jelly haha. abis di colek gak lama baliklagi jadi rata. teksturnya ringan dan gak berasa lengket dikulit.
2600,1,0,-1,-1,"Harganya sangat terjangkau dan bisa membersihkan riasan atau kotoran di wajah saya dengan cukup baik. cuma cuma, aromanya menusuk sekali dan ada sensasi perih di wajah setelah dibersihkan menggunakan produk ini :( trus juga, bisa membakar mata Anda saat terciprat secara tidak sengaja :("
2834,0,0,1,0,"produk ini adalah salah satu produk yang bisa membuat aku jatuh cinta pada pemakaian pertama. karena dia tergolong sebagai serum, maka aku pakainya setelah fte -nya sk ii. walaupun ada kandungan alkoholnya, tapi menurutku dia sama sekali tidak bikin kulit kering. pakai ini bikin kulit terasa lembab, kenyal, mencerahkan dan yang paling bikin seneng sih karena ga bikin purging. dia ada kandungan oksigennya juga yang katanya berfungsi untuk mengaktifkan energi sel dan vitalitas."
344,0,0,1,0,"awal-awal pakai agak aneh karena rasanya terlalu melembapkan pada kulit saya yang berminyak. tapi lama-lama jadi suka aja karena kalo ditimpa mattifying base \\ / powder jatuhnya jadi oke. ngga bikin breakout juga. secara keseluruhan, tabir surya yang layak dan saya mungkin akan membeli kembali ini."
4552,-1,0,0,0,"awalnya ragu untuk membuat scrub karena takut bikin muka kering. sempet cobain di counter clinique, ternyata tekstur scrubnya gak terlalu kasar makanya aman dipakai tiap hari. lembut di muka, berhasil angkat kulit2 mati. tapi harganya lumayan mahal juga ya untuk scrub."
4397,0,0,1,1,"beli sekitar sebulan yang lalu jujur ??aja pertama kali beli sih dan baru pake sekitar empat kali membuat ini biasanya pagi pagi sebelum mandi, pas mandi sekalian di cuci, abis mandi kerasa banget kulit jadi kenyal dan halus lus lus !! enak banget !! aku selama ini nyoba ga aku cairin dan emang kasar banget sih, tapi tetep suka! baunya pun enak. jujur ??ngerasa cocok banget sih sama produk ini dibeli kembali? iya tapi mungkin suatu hari ya karena ini produknya masih banyak banget :))"
