,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_comNB__estimator__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.19876244068145751,0.004600390555726148,0.02368767261505127,0.0005704735166331584,1,0.5,2000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.01}",61.61,62.42,60.11,61.36,64.18,62.5,60.97,59.77,61.26,63.38,61.75600000000001,1.311603598653192,26,67.68,67.85,67.26,67.85,67.49,67.56,67.71,68.06,67.61,67.41,67.648,0.2230605299016381
1,0.2018296480178833,0.003366859383246198,0.025444626808166504,0.0022306172400928122,1,0.5,2000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.001}",63.02,61.6,60.25,61.19,60.59,61.03,62.06,59.04,59.41,64.73,61.291999999999994,1.6050408094500292,138,73.64,73.77,74.01,73.54,73.65,74.07,73.71,73.88,74.06,74.21,73.854,0.2132228880772397
2,0.20278923511505126,0.004202263560762585,0.025046539306640626,0.0010008546256400298,1,0.5,2000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.0001}",62.71,61.93,60.64,61.32,60.74,61.11,61.94,59.05,59.28,64.64,61.336,1.544857274961024,128,73.72,73.92,74.27,73.5,73.59,73.88,73.9,73.99,74.08,74.35,73.92,0.2579147145860409
3,0.2085127353668213,0.017394427842740066,0.024749755859375,0.0006370358746357957,1,0.5,2000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 1}",62.71,61.93,60.64,61.32,60.74,61.11,61.94,59.05,59.28,64.64,61.336,1.544857274961024,128,73.72,73.92,74.27,73.5,73.59,73.88,73.9,73.99,74.08,74.35,73.92,0.2579147145860409
4,0.1998610019683838,0.003492020439108806,0.024603939056396483,0.0004095135453173665,1,0.5,2000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 2}",62.73,61.85,60.64,61.94,60.75,61.03,61.55,60.05,58.59,64.47,61.36,1.5016657417681196,120,73.66,73.93,74.12,73.57,73.77,74.18,73.78,73.91,74.09,74.12,73.913,0.2020915634062976
5,0.2000818967819214,0.003399083105178441,0.024827861785888673,0.0007019675850842433,1,0.5,2000,3,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 3}",62.93,61.84,60.48,60.95,60.7,61.46,61.54,59.79,59.31,64.64,61.364,1.4677002418750227,119,73.62,73.85,74.01,73.49,73.64,74.18,73.56,74.14,74.06,74.13,73.868,0.2546684118613859
6,0.19803967475891113,0.005290116750980941,0.024512863159179686,0.002010008667923322,1,0.5,3000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.01}",61.61,62.42,60.11,61.36,64.18,62.5,60.97,59.77,61.26,63.38,61.75600000000001,1.311603598653192,26,67.68,67.85,67.26,67.85,67.49,67.56,67.71,68.06,67.61,67.41,67.648,0.2230605299016381
7,0.20142459869384766,0.0026824985072419105,0.0249420166015625,0.0004712349964998769,1,0.5,3000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.001}",62.62,59.92,60.36,62.68,59.03,59.07,61.41,62.19,58.39,62.97,60.864,1.6346510330954422,162,75.7,75.48,75.39,75.63,75.24,75.95,75.9,76.11,75.79,75.68,75.68699999999998,0.25266776604862123
8,0.20144362449645997,0.004313996018920015,0.025011301040649414,0.0009086758510160859,1,0.5,3000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.0001}",63.04,60.66,60.23,62.58,58.68,58.42,60.44,62.12,58.87,63.14,60.818,1.7250669552223181,163,75.78,75.26,75.33,75.55,75.67,75.78,76.01,76.09,75.74,75.82,75.703,0.25115931199141345
9,0.2042222261428833,0.0042493330731384945,0.025478482246398926,0.0013246708813282138,1,0.5,3000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 1}",63.04,60.66,60.23,62.58,58.68,58.42,60.44,62.12,58.87,63.14,60.818,1.7250669552223181,163,75.78,75.26,75.33,75.55,75.67,75.78,76.01,76.09,75.74,75.82,75.703,0.25115931199141345
