,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_comNB__estimator__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.14715802669525146,0.003345411582160203,0.019065332412719727,0.0004993715107396209,1,0.5,2000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.01}",61.85,61.72,61.33,61.51,61.53,61.09,61.25,62.35,60.41,63.29,61.632999999999996,0.7327489338102107,10,66.45,66.27,66.34,67.08,66.39,66.7,67.25,66.99,66.55,66.48,66.65,0.3240370349203921
1,0.15168190002441406,0.004958036682168006,0.020480751991271973,0.0006460213792254949,1,0.5,2000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.001}",58.48,60.63,61.86,62.05,61.16,60.87,59.09,61.2,60.32,62.41,60.806999999999995,1.1890336412398086,107,73.23,73.03,73.1,73.57,73.09,73.28,73.82,73.19,73.68,73.02,73.301,0.2721194590616402
2,0.1502396821975708,0.002498084637962846,0.021041369438171385,0.002476049560015568,1,0.5,2000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.0001}",58.58,60.35,61.98,60.29,61.32,60.61,59.03,61.42,60.47,62.49,60.653999999999996,1.1558131336855455,123,73.29,73.0,73.04,73.75,73.13,73.42,73.83,73.52,73.87,73.09,73.394,0.318345724017144
3,0.1573852777481079,0.02650639295465748,0.020290398597717287,0.0011901499480894047,1,0.5,2000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 1}",58.58,60.35,61.98,60.29,61.32,60.61,59.03,61.42,60.47,62.49,60.653999999999996,1.1558131336855455,123,73.29,73.0,73.04,73.75,73.13,73.42,73.83,73.52,73.87,73.09,73.394,0.318345724017144
4,0.14895982742309571,0.0064848071950394815,0.020004892349243165,0.0004114977341778194,1,0.5,2000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 2}",59.56,60.56,61.78,61.21,61.18,60.39,58.99,61.11,60.22,62.53,60.753,0.9856779392884876,108,73.29,73.08,73.27,73.68,73.3,73.49,73.83,73.43,73.76,73.01,73.41399999999999,0.2633324894501251
5,0.15147244930267334,0.0069611354410867715,0.020474767684936522,0.0005358949968544776,1,0.5,2000,3,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 3}",58.61,60.53,61.93,61.11,61.25,60.5,58.86,61.33,60.65,62.33,60.71,1.1340811258459422,114,73.55,73.12,73.1,73.69,73.21,73.34,73.98,73.4,73.78,73.13,73.43,0.2931552489722824
6,0.15061917304992675,0.012838858056831201,0.01954679489135742,0.0005754485839935429,1,0.5,3000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.01}",61.85,61.72,61.33,61.51,61.53,61.09,61.25,62.35,60.41,63.29,61.632999999999996,0.7327489338102107,10,66.45,66.27,66.34,67.08,66.39,66.7,67.25,66.99,66.55,66.48,66.65,0.3240370349203921
7,0.14496972560882568,0.0064106586229999195,0.020768022537231444,0.0028103936547198864,1,0.5,3000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.001}",58.73,57.88,60.71,61.2,60.08,58.11,58.47,61.22,60.82,61.56,59.878,1.3570689002405152,171,74.36,74.09,73.94,73.89,73.81,74.16,74.56,73.93,74.24,74.1,74.108,0.22012723593412897
8,0.1529381036758423,0.005587907042062404,0.020784401893615724,0.0007528539621591542,1,0.5,3000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.0001}",58.46,57.25,59.66,60.89,60.59,57.18,56.79,60.32,57.13,62.22,59.049,1.834941143470275,179,74.39,74.34,74.37,74.22,74.45,73.8,74.94,74.78,73.88,74.27,74.34400000000001,0.33036949011674904
9,0.14828252792358398,0.006854898974619833,0.021142220497131346,0.0028293976515414883,1,0.5,3000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 1}",58.46,57.25,59.66,60.89,60.59,57.18,56.79,60.32,57.13,62.22,59.049,1.834941143470275,179,74.39,74.34,74.37,74.22,74.45,73.8,74.94,74.78,73.88,74.27,74.34400000000001,0.33036949011674904
