,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_comNB__estimator__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.15834403038024902,0.029862307080878985,0.019817328453063963,0.0010846056779487572,1,0.5,2000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.01}",62.16,62.4,60.51,59.08,63.1,60.27,61.5,60.75,61.9,67.08,61.875,2.0641620575914086,34,66.66,66.6,66.56,67.42,66.56,67.15,67.39,67.11,67.15,66.87,66.947,0.3220574482914513
1,0.15803771018981932,0.019708611480162046,0.02017364501953125,0.0008526266357664956,1,0.5,2000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.001}",62.1,60.85,61.25,60.51,59.64,62.39,59.15,61.37,60.83,62.53,61.062,1.0586576405996422,97,73.97,73.43,73.64,74.12,73.74,73.94,73.99,73.77,74.08,73.88,73.856,0.20185143051264096
2,0.14850366115570068,0.003042849514384312,0.020495152473449706,0.001001163841048732,1,0.5,2000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.0001}",62.16,60.87,61.04,60.24,60.18,61.88,59.64,61.41,60.4,62.52,61.034000000000006,0.8980556775612524,100,73.81,73.69,73.55,74.19,73.55,73.9,73.94,74.01,73.8,73.66,73.80999999999999,0.19534584715319786
3,0.15018320083618164,0.0059126037246211086,0.021373987197875977,0.002608024634578955,1,0.5,2000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 1}",62.16,60.87,61.04,60.24,60.18,61.88,59.64,61.41,60.4,62.52,61.034000000000006,0.8980556775612524,100,73.81,73.69,73.55,74.19,73.55,73.9,73.94,74.01,73.8,73.66,73.80999999999999,0.19534584715319786
4,0.14688782691955565,0.0036659138178954864,0.020057153701782227,0.0006829472361304984,1,0.5,2000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 2}",62.16,60.87,61.1,60.35,60.07,61.61,59.64,61.37,60.41,62.39,60.997,0.8543190270619045,109,73.89,73.75,73.59,74.12,73.59,73.91,73.94,74.01,73.9,73.77,73.847,0.16303680566056278
5,0.14892954826354982,0.004315847439362326,0.021048307418823242,0.001961792568274782,1,0.5,2000,3,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 3}",62.16,60.83,61.2,60.28,59.99,61.66,59.62,61.4,60.36,62.4,60.989999999999995,0.8843981004050148,110,73.91,73.68,73.66,74.24,73.56,74.04,73.95,74.04,74.07,73.68,73.88300000000001,0.21293426215618577
6,0.14706461429595946,0.005357341744646467,0.01966376304626465,0.0010225638321773975,1,0.5,3000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.01}",62.16,62.4,60.51,59.08,63.1,60.27,61.5,60.75,61.9,67.08,61.875,2.0641620575914086,34,66.66,66.6,66.56,67.42,66.56,67.15,67.39,67.11,67.15,66.87,66.947,0.3220574482914513
7,0.14986319541931153,0.0032731483208467047,0.02104041576385498,0.0011773694867522452,1,0.5,3000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.001}",61.06,61.32,59.88,59.42,59.29,60.75,59.37,62.01,60.59,62.56,60.625,1.0823978011803244,151,74.06,74.26,74.31,74.62,74.0,74.18,74.52,74.23,74.33,74.21,74.27200000000002,0.17904189453868033
8,0.1513601303100586,0.005686484770327953,0.020543432235717772,0.0006130291481242438,1,0.5,3000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.0001}",59.22,60.43,59.16,62.03,58.16,57.82,55.61,60.21,58.48,61.02,59.214,1.739161867107258,183,74.57,74.35,73.62,74.17,73.94,74.19,73.99,74.42,74.28,74.31,74.184,0.25939159585460597
9,0.1514648199081421,0.005247873085020704,0.0204897403717041,0.0005751134506970544,1,0.5,3000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 1}",59.22,60.43,59.16,62.03,58.16,57.82,55.61,60.21,58.48,61.02,59.214,1.739161867107258,183,74.57,74.35,73.62,74.17,73.94,74.19,73.99,74.42,74.28,74.31,74.184,0.25939159585460597
10,0.14729502201080322,0.0056466304305121,0.01990973949432373,0.0005193524970469295,1,0.5,3000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 2}",59.29,58.58,58.71,62.16,58.12,58.16,56.96,60.29,58.82,59.46,59.05500000000001,1.3360258231037299,186,74.48,74.11,73.73,74.3,73.84,74.24,74.01,74.15,74.35,74.16,74.137,0.21716583525038918
11,0.14664950370788574,0.004618945427044619,0.020085692405700684,0.0005608579173299459,1,0.5,3000,3,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 3}",58.76,61.18,59.03,60.71,59.82,59.51,58.53,62.07,59.59,59.25,59.845000000000006,1.076273664083629,173,74.35,74.03,74.09,74.49,74.24,73.88,74.44,74.56,74.66,74.6,74.33399999999999,0.25116528422534756
12,0.14277112483978271,0.00307935791210858,0.019762063026428224,0.002419148081241775,1,0.5,4000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 4000, 'tfidf__min_df': 0.01}",62.16,62.4,60.51,59.08,63.1,60.27,61.5,60.75,61.9,67.08,61.875,2.0641620575914086,34,66.66,66.6,66.56,67.42,66.56,67.15,67.39,67.11,67.15,66.87,66.947,0.3220574482914513
13,0.15075039863586426,0.003035817007183786,0.020772337913513184,0.0007456609899445542,1,0.5,4000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 4000, 'tfidf__min_df': 0.001}",61.06,61.32,59.88,59.42,59.29,60.75,59.37,62.01,60.59,62.56,60.625,1.0823978011803244,151,74.06,74.26,74.31,74.62,74.0,74.18,74.52,74.23,74.33,74.21,74.27200000000002,0.17904189453868033
14,0.1509624719619751,0.003954145603145551,0.02057356834411621,0.0009863312462627335,1,0.5,4000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 4000, 'tfidf__min_df': 0.0001}",57.03,54.53,54.97,58.25,55.47,55.12,53.02,56.64,55.42,57.62,55.806999999999995,1.4926087900049356,209,71.71,72.13,72.03,72.13,72.26,71.78,72.01,72.6,71.93,71.69,72.02700000000002,0.2624137953690692
15,0.14879770278930665,0.003718401905911391,0.021047019958496095,0.001628605863646963,1,0.5,4000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 4000, 'tfidf__min_df': 1}",57.03,54.53,54.97,58.25,55.47,55.12,53.02,56.64,55.42,57.62,55.806999999999995,1.4926087900049356,209,71.71,72.13,72.03,72.13,72.26,71.78,72.01,72.6,71.93,71.69,72.02700000000002,0.2624137953690692
16,0.14912712574005127,0.004496208264312269,0.020379924774169923,0.000673489646899598,1,0.5,4000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 4000, 'tfidf__min_df': 2}",58.94,56.6,56.0,60.69,56.79,55.8,53.91,58.19,55.66,58.29,57.08699999999999,1.8539689857168593,205,73.22,72.7,72.88,73.28,73.14,72.76,73.08,72.92,73.07,72.74,72.979,0.19730433345469078
17,0.1465291976928711,0.006129305909179259,0.020241641998291017,0.0011327440735835416,1,0.5,4000,3,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 4000, 'tfidf__min_df': 3}",58.76,61.18,59.03,60.71,59.82,59.51,58.53,62.07,59.59,59.25,59.845000000000006,1.076273664083629,173,74.35,74.03,74.09,74.49,74.24,73.88,74.44,74.56,74.66,74.6,74.33399999999999,0.25116528422534756
18,0.14406819343566896,0.005317904450286367,0.019327712059020997,0.0012272743638291079,1,0.7,2000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.7, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.01}",62.93,62.89,60.72,59.29,63.19,61.09,62.16,60.56,61.8,67.03,62.166,2.0012056366100914,10,66.71,66.58,66.52,67.48,66.64,67.3,67.36,67.3,67.26,66.76,66.991,0.3584536232206349
19,0.14699037075042726,0.00554561585372414,0.02073507308959961,0.002061164098338241,1,0.7,2000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.7, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.001}",62.06,60.12,60.33,59.96,59.11,61.13,59.08,61.56,60.61,62.56,60.652,1.1132007905135546,147,73.76,73.34,73.63,73.95,73.51,73.68,73.58,73.79,73.82,73.63,73.669,0.16410057891427418
20,0.15125136375427245,0.005962029516556881,0.020482873916625975,0.0007387572181544048,1,0.7,2000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.7, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.0001}",61.92,61.44,60.27,60.51,58.98,61.06,59.04,61.67,60.39,62.53,60.78099999999999,1.1144904665361666,131,73.83,73.63,73.46,73.92,73.42,73.74,73.54,73.84,73.8,73.58,73.67599999999999,0.16481504785668113
21,0.14842360019683837,0.0033028566748313764,0.01999342441558838,0.00045145828409502904,1,0.7,2000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.7, 'tfidf__max_features': 2000, 'tfidf__min_df': 1}",61.92,61.44,60.27,60.51,58.98,61.06,59.04,61.67,60.39,62.53,60.78099999999999,1.1144904665361666,131,73.83,73.63,73.46,73.92,73.42,73.74,73.54,73.84,73.8,73.58,73.67599999999999,0.16481504785668113
22,0.14633986949920655,0.0036994585709280996,0.020609569549560548,0.0022682088419813434,1,0.7,2000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.7, 'tfidf__max_features': 2000, 'tfidf__min_df': 2}",61.87,61.34,60.33,60.51,59.18,61.02,59.63,61.63,60.48,62.48,60.847,0.9682360249443311,125,73.79,73.71,73.46,73.97,73.4,73.83,73.59,73.87,73.88,73.6,73.71000000000001,0.18110770276274832
