,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_comNB__estimator__alpha,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.19849553108215331,0.021262319844087073,0.023855066299438475,0.0006981658209947731,1,0.5,2000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.01}",64.13,62.07,61.08,60.25,64.08,61.14,61.82,61.15,62.63,65.87,62.422000000000004,1.6692681030918917,28,67.15,67.41,67.16,68.06,67.49,67.77,67.76,67.75,67.48,67.7,67.57300000000001,0.2738631044883561
1,0.1908191680908203,0.005877457621806611,0.024789881706237794,0.0007874799649985841,1,0.5,2000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.001}",61.57,61.09,62.42,60.31,59.96,61.19,58.94,62.63,61.03,61.67,61.080999999999996,1.0596173837758618,115,73.67,73.06,73.29,73.67,72.94,73.66,73.16,74.07,73.52,73.32,73.43599999999999,0.3266557821315877
2,0.19454526901245117,0.006415786310544317,0.026239657402038576,0.00302519046424887,1,0.5,2000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 0.0001}",61.77,61.61,63.02,61.47,60.07,60.5,59.09,62.41,60.42,60.98,61.134,1.1033875112579439,113,73.6,72.77,73.0,73.51,73.14,73.75,73.39,74.33,73.57,73.2,73.426,0.41548044478651425
3,0.19072999954223632,0.005858008816745844,0.02537117004394531,0.0021758072454103167,1,0.5,2000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 1}",61.77,61.61,63.02,61.47,60.07,60.5,59.09,62.41,60.42,60.98,61.134,1.1033875112579439,113,73.6,72.77,73.0,73.51,73.14,73.75,73.39,74.33,73.57,73.2,73.426,0.41548044478651425
4,0.18706254959106444,0.004441977277686779,0.025085854530334472,0.001354756546246734,1,0.5,2000,2,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 2}",61.69,61.14,62.35,60.46,60.41,60.78,58.79,62.47,60.66,61.29,61.004,1.0124643203589945,117,73.86,73.09,73.24,73.54,73.04,73.63,73.48,74.12,73.75,73.38,73.513,0.32487074352732953
5,0.19058783054351808,0.005433435290144041,0.024947571754455566,0.0011135120525475042,1,0.5,2000,3,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 2000, 'tfidf__min_df': 3}",61.78,61.2,62.34,60.37,59.38,60.64,58.48,62.59,60.4,61.6,60.878,1.2265626767515811,129,73.64,73.01,73.12,73.56,73.3,73.76,73.38,74.22,74.13,73.21,73.533,0.3896421435111958
6,0.19087870121002198,0.004827841101097678,0.024467897415161134,0.0013439734049105012,1,0.5,3000,0.01,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.01}",64.13,62.07,61.08,60.25,64.08,61.14,61.82,61.15,62.63,65.87,62.422000000000004,1.6692681030918917,28,67.15,67.41,67.16,68.06,67.49,67.77,67.76,67.75,67.48,67.7,67.57300000000001,0.2738631044883561
7,0.18849332332611085,0.004769561969527474,0.02576746940612793,0.0023385597510503,1,0.5,3000,0.001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.001}",60.72,59.72,61.26,60.16,59.19,60.7,59.83,62.74,61.65,60.51,60.64799999999999,0.9836747429918092,148,73.88,73.7,73.61,73.72,73.44,74.0,74.15,73.86,74.11,73.93,73.83999999999999,0.21250882334623322
8,0.1913529396057129,0.0076910139321506674,0.025020670890808106,0.00126714781268735,1,0.5,3000,0.0001,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 0.0001}",58.65,58.97,57.93,60.64,57.86,58.03,56.66,60.5,58.02,59.21,58.647000000000006,1.169718342166182,180,73.05,72.91,72.89,73.4,73.0,72.84,73.19,73.28,73.38,73.51,73.145,0.22738733473964737
9,0.18953850269317626,0.0054845977779153,0.02588646411895752,0.0019343186199969502,1,0.5,3000,1,"{'comNB__estimator__alpha': 1, 'tfidf__max_df': 0.5, 'tfidf__max_features': 3000, 'tfidf__min_df': 1}",58.65,58.97,57.93,60.64,57.86,58.03,56.66,60.5,58.02,59.21,58.647000000000006,1.169718342166182,180,73.05,72.91,72.89,73.4,73.0,72.84,73.19,73.28,73.38,73.51,73.145,0.22738733473964737
